election_year,state,DEMOCRAT,REPUBLICAN,total_votes,dem_pct,rep_pct,margin
2000,AK,79004.0,167398.0,246402.0,32.06305143627081,67.93694856372919,35.87389712745838
2000,AL,695602.0,944409.0,1640011.0,42.41447161025139,57.58552838974861,15.17105677949722
2000,AR,422768.0,472940.0,895708.0,47.19931048957919,52.80068951042081,5.60137902084162
2000,AZ,685341.0,781652.0,1466993.0,46.71740083286014,53.28259916713986,6.565198334279714
2000,CA,5861203.0,4567429.0,10428632.0,56.20298999907178,43.79701000092822,-12.405979998143565
2000,CO,738227.0,883745.0,1621972.0,45.51416423957997,54.48583576042003,8.971671520840061
2000,CT,816015.0,561094.0,1377109.0,59.25565804885452,40.74434195114548,-18.51131609770904
2000,DC,171923.0,18073.0,189996.0,90.48769447777848,9.51230552222152,-80.97538895555695
2000,DE,180068.0,137288.0,317356.0,56.740064785288446,43.259935214711554,-13.480129570576892
2000,FL,2911417.0,2911215.0,5822632.0,50.00173461073961,49.99826538926039,-0.0034692214792215736
2000,GA,1116230.0,1419720.0,2535950.0,44.01624637709734,55.983753622902654,11.967507245805315
2000,HI,205242.0,137819.0,343061.0,59.826678054340185,40.173321945659815,-19.65335610868037
2000,IA,638517.0,634373.0,1272890.0,50.16277918751817,49.83722081248183,-0.3255583750363371
2000,ID,138637.0,336937.0,475574.0,29.151509544255994,70.84849045574401,41.69698091148802
2000,IL,2589026.0,2019421.0,4608447.0,56.18001031583959,43.81998968416041,-12.360020631679177
2000,IN,901980.0,1245836.0,2147816.0,41.995217467418065,58.004782532581935,16.00956506516387
2000,KS,399276.0,622332.0,1021608.0,39.083092536471916,60.916907463528084,21.833814927056167
2000,KY,638898.0,872492.0,1511390.0,42.272212995983836,57.72778700401617,15.455574008032336
2000,LA,792344.0,927871.0,1720215.0,46.06075403365277,53.93924596634723,7.878491932694459
2000,MA,1616487.0,878502.0,2494989.0,64.78934376063381,35.21065623936618,-29.578687521267632
2000,MD,1145782.0,813797.0,1959579.0,58.470824600590234,41.52917539940977,-16.94164920118046
2000,ME,319951.0,286616.0,606567.0,52.74784154100042,47.25215845899958,-5.495683082000838
2000,MI,2170418.0,1953139.0,4123557.0,52.63460648173409,47.365393518265904,-5.269212963468185
2000,MN,1168266.0,1109659.0,2277925.0,51.28641197581132,48.71358802418868,-2.572823951622638
2000,MO,1111138.0,1189924.0,2301062.0,48.288051343249336,51.711948656750664,3.423897313501328
2000,MS,404964.0,573230.0,978194.0,41.39914986188833,58.60085013811166,17.201700276223328
2000,MT,137126.0,240178.0,377304.0,36.343638021330285,63.656361978669715,27.31272395733943
2000,NC,1257692.0,1631163.0,2888855.0,43.53600301849695,56.46399698150305,12.927993963006102
2000,ND,95284.0,174852.0,270136.0,35.27260342938372,64.72739657061628,29.454793141232557
2000,NE,231780.0,433862.0,665642.0,34.82051913791497,65.17948086208503,30.358961724170058
2000,NH,266348.0,273559.0,539907.0,49.3321998047812,50.6678001952188,1.3356003904376053
2000,NJ,1788850.0,1284173.0,3073023.0,58.211409416720926,41.788590583279074,-16.422818833441852
2000,NM,286783.0,286417.0,573200.0,50.03192602930914,49.96807397069086,-0.0638520586182807
2000,NV,279978.0,301575.0,581553.0,48.14316150032757,51.85683849967243,3.7136769993448553
2000,NY,4107697.0,2403374.0,6511071.0,63.0878852342418,36.9121147657582,-26.175770468483606
2000,OH,2186190.0,2351209.0,4537399.0,48.18156833904182,51.81843166095818,3.6368633219163655
2000,OK,474276.0,744337.0,1218613.0,38.919328777881084,61.08067122211892,22.16134244423784
2000,OR,720342.0,713577.0,1433919.0,50.235891985530564,49.764108014469436,-0.4717839710611287
2000,PA,2485967.0,2281127.0,4767094.0,52.14847871680315,47.85152128319685,-4.296957433606295
2000,RI,249508.0,130555.0,380063.0,65.64911606759932,34.350883932400684,-31.29823213519864
2000,SC,566039.0,786426.0,1352465.0,41.85239544091714,58.14760455908286,16.295209118165715
2000,SD,118804.0,190700.0,309504.0,38.38528742762614,61.61471257237386,23.229425144747722
2000,TN,981720.0,1061949.0,2043669.0,48.03713321482099,51.96286678517901,3.9257335703580196
2000,TX,2433746.0,3799639.0,6233385.0,39.04372985143706,60.95627014856294,21.912540297125886
2000,UT,203053.0,515096.0,718149.0,28.274494568675863,71.72550543132414,43.451010862648275
2000,VA,1216422.0,1436877.0,2653299.0,45.845643480060104,54.154356519939896,8.308713039879791
2000,VT,149022.0,119775.0,268797.0,55.4403508967734,44.5596491032266,-10.880701793546805
2000,WA,1247652.0,1108864.0,2356516.0,52.944771009405414,47.055228990594586,-5.889542018810829
2000,WI,1242987.0,1237279.0,2480266.0,50.115068303157805,49.884931696842195,-0.23013660631561095
2000,WV,295497.0,336475.0,631972.0,46.75792598406259,53.24207401593741,6.484148031874824
2000,WY,60481.0,147947.0,208428.0,29.01769435968296,70.98230564031705,41.96461128063409
2004,AK,180365.0,292267.0,472632.0,38.16182569102388,61.838174308976114,23.676348617952236
2004,AL,693933.0,1176394.0,1870327.0,37.10222864771775,62.89777135228225,25.795542704564497
2004,AR,468631.0,572770.0,1041401.0,45.00005281346955,54.99994718653045,9.999894373060897
2004,AZ,893524.0,1104294.0,1997818.0,44.72499496951174,55.275005030488266,10.550010060976525
2004,CA,6737355.0,5501496.0,12238851.0,55.04891758221421,44.951082417785784,-10.097835164428425
2004,CO,1001732.0,1101255.0,2102987.0,47.63377044175737,52.36622955824264,4.732459116485266
2004,CT,857488.0,693826.0,1551314.0,55.27494756058412,44.725052439415876,-10.549895121168241
